participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
None,initButtons,42956622,reading,,,,
None,tellAgain,18912425,reading,,,,
None,testGetCodigo,11950130,reading,,,,
None,otherDoEndTagOperations,1741129,reading,,,,
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
None,initButtons,42956622,reading,,,,
None,tellAgain,18912425,reading,,,,
None,testGetCodigo,11950130,reading,,,,
None,otherDoEndTagOperations,1741129,reading,,,,
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
None,initButtons,42956622,reading,,,,
None,tellAgain,18912425,reading,,,,
None,testGetCodigo,11950130,reading,,,,
None,otherDoEndTagOperations,1741129,reading,,,,
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
None,initButtons,42956622,reading,,s_disagree,s_disagree,s_disagree
None,tellAgain,18912425,reading,,disagree,disagree,disagree
None,testGetCodigo,11950130,reading,,neutral,neutral,neutral
None,otherDoEndTagOperations,1741129,reading,,agree,agree,agree
participant_id,function_name,function_id,task,summary,how_accurate,missing_info,unnecessary_info
None,initButtons,42956622,reading,,s_disagree,s_disagree,s_disagree
None,tellAgain,18912425,reading,,disagree,disagree,disagree
None,testGetCodigo,11950130,reading,,neutral,neutral,neutral
None,otherDoEndTagOperations,1741129,reading,,agree,agree,agree
None,otherDoEndTagOperations,1741129,reading,,s_agree,s_agree,s_agree
None,capitalizeString,1412807,writing,,,,
None,visitRetStmt,13482891,writing,,,,
None,exit,4453291,writing,,,,
None,toString,22626628,writing,,,,
None,toString,22626628,writing,,,,
