,word,x,y,width,height
0,public,12,35,69,24
1,Command,86,35,81,20
2,getokcommand18(),173,35,176,24
3,{,358,35,14,24
4,if,54,62,27,20
5,unknown_0,88,62,12,24
6,okcommand18,108,62,124,20
18,==,238,62,27,13
7,null,271,62,48,20
8,unknown_1,327,62,11,24
9,{I/GEN,347,62,120,24
10,~,347,62,120,24
11,END:,347,62,120,24
12,unknown_2,479,62,9,24
16,728-getter,497,62,113,23
13,unknown_3,620,62,8,24
17,0,638,62,15,19
14,unknown_4,663,62,8,24
15,728-preInit,681,62,123,24
19,unknown_5,98,89,26,20
20,write,129,89,60,20
21,pre-init,195,89,90,24
24,user,292,89,48,17
22,code,346,89,48,20
23,here,400,89,48,20
25,okcommand18,98,116,123,20
39,=,227,116,16,13
38,new,249,116,38,17
26,Command(,292,116,89,24
27,"""LIQUIDEZ""",390,116,119,24
28,Command,519,116,120,23
29,"OK,",519,116,120,23
34,unknown_9,648,116,16,19
30,);//GEN-LINE,672,116,140,24
31,unknown_6,825,116,9,24
35,728-getter,843,116,112,23
32,unknown_7,965,116,9,24
36,1,983,116,16,19
33,unknown_8,1008,116,9,24
37,728-,1027,116,46,19
40,postInit,12,143,89,24
41,unknown_10,98,170,26,20
42,write,129,170,60,20
43,post-init,195,170,101,24
46,user,303,170,47,17
44,code,357,170,48,20
45,here,411,170,48,20
47,}/GEN,55,197,141,24
48,"""",55,197,141,24
49,BEGIN:,55,197,141,24
50,unknown_11,209,197,9,24
53,728-getter,227,197,113,23
51,unknown_12,349,197,9,24
54,2,368,197,15,19
52,unknown_13,393,197,8,24
56,return,55,224,69,19
55,okcommand18;,130,224,132,23
57,unknown_14,11,251,15,24
