,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,addToTechnicacomment,141,35,240,24
3,final,389,35,59,20
4,String,454,35,69,24
5,add_to_technical_comment,530,35,263,22
6,unknown_0,802,35,11,24
7,unknown_1,822,35,15,24
8,if,54,62,27,20
9,unknown_2,88,62,12,24
10,getTechnicaComment(),108,62,230,24
16,!=,349,62,24,19
11,null,379,62,48,20
17,&&,432,62,28,19
12,getTechnicaComment(),465,62,239,24
13,Zength(),704,62,88,24
19,unknown_6,800,62,15,16
18,unknown_5,821,62,16,19
14,unknown_3,845,62,12,24
15,unknown_4,865,62,15,24
20,setTechnicalcomment,98,89,218,24
21,getTechnicaComment(),324,89,230,24
25,unknown_7,562,89,16,16
22,"""|n""",585,89,45,24
26,unknown_8,637,89,16,16
23,add_to_technical_comment,659,89,263,22
24,);,932,89,21,24
27,unknown_9,55,116,14,24
28,else,54,143,48,20
29,unknown_10,109,143,15,24
30,setTechnicalcomment,98,170,218,24
31,add_to_technical_comment,324,170,264,22
32,);,597,170,21,24
33,unknown_11,55,197,14,24
34,unknown_12,11,224,15,24
