,word,x,y,width,height
0,private,12,35,80,24
1,boolean,98,35,80,20
2,liesBetween(,185,35,131,24
3,double,324,35,70,20
8,"X1,",400,35,34,22
4,double,443,35,70,20
9,X2/,519,35,33,22
5,double,562,35,70,20
10,X3,638,35,26,19
6,unknown_0,672,35,12,24
7,{,692,35,15,24
11,if,54,62,27,20
12,unknown_1,88,62,23,24
14,X1,119,62,27,19
16,<=,151,62,27,16
15,X2,184,62,26,19
13,unknown_2,219,62,11,24
19,&&,97,89,28,19
17,unknown_3,132,89,11,24
20,X3,152,89,26,19
27,2=,184,89,27,16
21,X1,216,89,27,19
30,unknown_5,251,89,12,8
22,ACCURACY,269,89,93,19
23,&&,367,89,28,19
24,X3,400,89,27,19
28,<=,432,89,27,16
25,X2,465,89,26,19
29,unknown_4,497,89,16,16
26,ACCURACY,518,89,93,19
18,)),618,89,23,24
31,return,185,117,68,19
32,true;,260,117,56,22
33,if,54,143,27,20
34,unknown_6,88,143,23,24
36,X1,119,143,27,19
38,7=,152,143,26,16
37,X2,184,143,26,19
35,unknown_7,219,143,11,24
41,&&,97,170,28,19
39,unknown_8,132,170,11,24
42,X3,152,170,26,19
49,2=,184,170,27,16
43,X2,216,170,27,19
52,unknown_10,251,170,12,8
44,ACCURACY,269,170,93,19
45,&&,367,170,28,19
46,X3,400,170,27,19
50,<=,432,170,27,16
47,X1,465,170,27,19
51,unknown_9,497,170,16,16
48,ACCURACY,518,170,93,19
40,)),618,170,23,24
53,return,185,198,68,19
54,true;,260,198,56,22
56,return,55,251,69,19
55,false;,130,251,67,23
57,unknown_11,11,278,15,24
