,word,x,y,width,height
0,private,12,35,80,24
1,void,97,35,48,20
2,ZeaveAI1(,153,35,98,24
7,MouseEvent<?,260,35,134,19
3,extends,400,35,80,20
4,EventHandler,487,35,133,20
9,unknown_1,627,35,16,16
8,event,648,35,58,19
5,unknown_0,715,35,12,24
6,{,736,35,14,24
10,LocInfo,55,62,80,20
11,locInfo,142,62,79,20
14,=,227,62,16,13
13,new,249,62,38,17
12,LocInfo();,293,62,109,24
15,assert(,54,89,79,24
16,4,144,89,291,24
17,locInfo.isVertexLocValid(),144,89,291,24
18,);,445,89,22,24
19,assert(,54,116,79,24
20,1,144,116,356,24
21,locInfo.isVerticalEdgeLocValid(),144,116,356,24
22,);,510,116,22,24
23,assert(,54,143,79,24
24,1,144,143,378,24
25,locInfo.isHorizontalEdgeLocValid(),144,143,378,24
26,);,532,143,21,24
27,assert(,54,170,79,24
28,4,144,170,270,24
29,locInfo.iscellLocValid(),144,170,270,24
30,);,424,170,21,24
31,handleLeaveEvents,55,197,196,24
32,"locInfo,",261,197,86,23
34,event,357,197,58,19
33,);,424,197,21,24
35,lastLocInfo.copy,56,224,185,24
36,locInfo,250,224,79,20
37,);,337,224,22,24
38,unknown_2,11,251,15,24
