,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,testLogin(),141,35,122,24
3,unknown_0,271,35,15,24
4,SessionManager,54,62,156,24
6,manager,216,62,80,21
8,=,303,62,16,13
7,new,325,62,37,17
5,SimpleSessionManager();,367,62,251,24
9,string,54,89,70,24
10,sessionId,131,89,101,20
16,=,238,89,16,13
11,manager,259,89,241,24
12,createSession(,259,89,241,24
13,"null,",509,89,54,23
14,null,573,89,48,20
15,);,629,89,21,24
17,Session,54,116,80,20
18,session,142,116,79,20
23,=,227,116,16,13
19,manager,249,116,208,24
20,getSession(,249,116,208,24
21,sessionId,466,116,100,20
22,);,575,116,21,24
29,manager,54,143,88,21
24,Zogin(,142,143,66,24
25,session,217,143,87,23
26,"""user""",315,143,75,23
27,"password""",401,143,110,24
28,);,521,143,21,24
30,assertEquals(,54,197,143,24
31,"""user""",207,197,75,23
32,session.getUserId(),293,197,207,24
33,);,510,197,22,24
34,assertEquals(,54,224,143,24
35,"""password""",207,224,119,24
36,session.getUserPassword(),336,224,272,24
37,);,618,224,22,24
38,assertTrue,54,251,122,24
39,session.isLoggedIn(),185,251,218,24
40,);,413,251,21,24
41,unknown_1,11,278,15,24
