,word,x,y,width,height
0,public,12,35,69,24
1,string,86,35,70,24
2,capitalizestring(,162,35,187,24
3,String,357,35,69,24
6,S,433,35,15,17
4,unknown_0,456,35,12,24
5,{,476,35,15,24
7,string,54,62,70,24
8,result,131,62,68,20
10,=,205,62,16,13
9,unknown_1,228,62,34,23
11,for(,54,116,46,24
12,int,108,116,37,20
13,1,152,116,16,20
22,=,173,116,16,13
19,0;,195,116,23,22
14,1,227,116,16,20
20,unknown_3,249,116,16,15
21,S_,271,116,23,17
15,Zength();,293,116,98,24
16,i++,400,116,37,20
17,unknown_2,445,116,12,24
18,{,466,116,14,24
23,if,98,143,26,20
24,unknown_4,132,143,11,24
40,result,142,143,68,20
25,1,152,143,16,20
38,==,173,143,27,13
36,0,206,143,15,19
47,+=,216,143,27,16
26,unknown_5,231,143,8,24
27,unknown_6,241,143,9,24
41,"S,substring(",250,143,131,24
28,"S,substring(",260,143,132,24
42,"1,",389,143,23,23
29,1,400,143,16,20
43,1,422,143,16,20
39,unknown_9,423,143,13,8
37,"1,",443,143,23,22
48,unknown_10,443,143,16,16
46,1,465,143,16,19
30,1,476,143,16,20
44,),489,143,172,24
45,toUppercase();,489,143,172,24
31,),499,143,98,24
32,equals(,499,143,98,24
33,unknown_7,606,143,13,13
34,unknown_8,628,143,13,13
35,)),651,143,22,24
49,else,98,197,48,20
50,result,142,224,68,20
56,+=,216,224,27,16
51,"S,substring(",250,224,131,24
52,"1,",389,224,23,23
53,1,422,224,16,20
57,unknown_11,443,224,16,16
55,1,465,224,16,19
54,);,489,224,21,24
58,unknown_12,55,251,14,24
60,return,55,278,69,19
59,result;,131,278,77,23
61,unknown_13,11,305,15,24
