,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,testSetExample(),141,35,176,24
3,unknown_0,325,35,15,24
4,System.out.println(,54,62,208,24
5,"""testSetExample""",272,62,175,24
6,);,456,62,22,24
7,teststring,55,89,112,24
9,=,173,89,16,13
8,"""<tag:foozIn"";",196,89,152,24
10,teststring,55,116,112,24
13,+=,173,116,27,16
11,"""tstag:bar",207,116,122,24
12,"I>"";",335,116,45,23
14,teststring,55,143,112,24
16,+=,173,143,27,16
15,"""</tag:foo>"";",207,143,141,24
17,tag.setExample(,55,170,164,24
18,teststring,228,170,112,24
19,);,348,170,22,24
20,assertEquals(,54,197,143,24
21,"tag.getExample(),",206,197,184,24
22,teststring,401,197,111,24
23,);,521,197,21,24
24,unknown_1,11,224,15,24
