,word,x,y,width,height
0,private,12,35,80,24
1,string,97,35,70,24
2,joinTableRender,173,35,176,24
3,Table,356,35,60,20
4,from,422,35,55,23
5,Association,485,35,125,20
6,association,616,35,123,20
7,unknown_0,748,35,11,24
8,{,768,35,15,24
9,int,54,62,37,20
11,n,98,62,15,17
12,=,119,62,16,13
10,0;,141,62,23,22
13,for,54,116,37,20
14,unknown_1,99,116,12,24
15,Association,118,116,124,20
19,a:,249,116,23,17
16,"from,associations",281,116,188,20
17,unknown_2,478,116,11,24
18,{,498,116,15,24
20,if,98,143,26,20
21,unknown_3,132,143,11,24
22,a.destination,152,143,144,20
27,==,303,143,26,13
23,association,335,143,253,20
24,destination,335,143,253,20
25,unknown_4,597,143,11,24
26,{,617,143,15,24
28,++n;,141,172,45,21
29,unknown_5,98,197,14,24
30,unknown_6,55,224,14,24
38,return,55,251,69,19
31,datamodel.getDisplayName,130,251,273,24
32,association,411,251,253,20
33,destination,411,251,253,20
34,unknown_7,672,251,12,24
39,unknown_10,691,251,16,16
35,unknown_8,715,251,12,24
42,n,735,251,15,17
40,unknown_11,756,251,16,16
36,"12""",778,251,36,20
43,on,821,251,26,17
37,unknown_9,855,251,13,13
41,unknown_12,875,251,16,16
44,"association.getName():""",11,278,263,24
45,);,283,278,22,24
46,unknown_13,11,305,15,24
