,word,x,y,width,height
0,private,12,35,80,24
1,void,97,35,48,20
2,getGlobaZElements,152,35,197,24
8,Document,357,35,90,19
3,doc,454,35,44,23
4,File,509,35,47,20
5,file,562,35,48,20
6,unknown_0,618,35,12,24
7,{,638,35,15,24
9,if,54,62,27,20
10,unknown_1,88,62,12,24
11,doc,108,62,37,20
15,==,151,62,27,13
12,null,184,62,48,20
13,unknown_2,240,62,12,24
14,{,260,62,15,24
16,return;,99,90,76,22
17,unknown_3,55,116,14,24
18,List,55,143,46,20
19,list,110,143,46,20
23,=,162,143,16,13
20,"doc,selectNodes",184,143,175,24
21,"Ixsd:schemalxsd:element""",369,143,272,20
22,);,651,143,21,24
24,for,54,197,37,20
25,unknown_4,99,197,12,24
32,Iterator,120,197,90,19
26,iter,216,197,48,20
33,=,270,197,16,13
27,list.iterator();,293,197,174,24
28,iter,476,197,164,24
29,hasNext();,476,197,164,24
30,unknown_5,651,197,11,24
31,{,671,197,15,24
34,Element,98,224,79,20
35,element,184,224,80,20
41,=,270,224,16,13
36,unknown_6,294,224,11,24
37,Element,314,224,79,20
38,unknown_7,402,224,12,24
39,iter,422,224,131,24
40,next();,422,224,131,24
42,string,97,251,70,24
46,name,174,251,47,17
47,=,227,251,16,13
43,element.attributevalue,249,251,251,24
44,"'name""",509,251,67,20
45,);,586,251,21,24
48,GlobalElement,97,278,145,20
53,g,249,278,15,21
55,=,270,278,16,13
54,new,292,278,38,17
49,GlobaElement,335,278,154,24
50,element,497,278,88,23
51,file,594,278,49,20
52,);,651,278,21,24
56,unknown_8,98,305,26,20
57,System.out.printn,130,305,199,24
58,unknown_9,337,305,12,24
59,g.tostring(),357,305,132,24
60,);,499,305,22,24
62,try,98,332,37,23
61,{,142,332,14,24
63,globaDefMap.setValue,141,359,240,24
65,name,390,359,54,20
66,g,454,359,15,21
64,);,478,359,21,24
67,unknown_10,98,386,14,24
68,catch,130,386,58,20
69,unknown_11,197,386,11,24
70,Exception,217,386,101,24
73,e,324,386,16,17
71,unknown_12,348,386,12,24
72,{,368,386,15,24
74,System.out,141,413,199,24
75,println,141,413,199,24
76,unknown_13,348,413,11,24
77,e.getMessage,368,413,154,24
78,),368,413,154,24
79,);,532,413,21,24
80,unknown_14,98,440,14,24
81,unknown_15,55,467,14,24
82,unknown_16,11,494,15,24
