,word,x,y,width,height
0,public,12,35,69,24
1,string,86,35,70,24
2,getNAGString,162,35,134,24
3,unknown_0,305,35,11,24
4,boolean,325,35,79,20
5,allNumeric,411,35,113,20
6,unknown_1,532,35,11,24
7,{,552,35,15,24
8,if,54,62,27,20
9,unknown_2,88,62,12,24
14,nags,109,62,47,21
15,==,162,62,27,13
10,null,195,62,48,20
11,unknown_3,251,62,12,24
13,return,271,62,69,19
12,null;,346,62,56,23
16,stringBuilder,54,116,145,24
17,sb,206,116,26,20
20,=,238,116,16,13
19,new,260,116,38,17
18,StringBuilder();,303,116,175,24
21,string,54,143,70,24
22,suff,131,143,47,20
24,=,184,143,16,13
23,null;,206,143,56,23
25,int,54,170,37,20
26,count,98,170,58,19
28,=,162,170,16,13
27,0;,184,170,24,22
29,for,54,224,37,20
30,unknown_4,99,224,12,24
31,int,119,224,37,20
32,i=0;,162,224,46,23
33,1,216,224,16,20
38,unknown_6,238,224,16,15
39,nags,260,224,55,21
34,length;,315,224,76,24
35,i++,400,224,37,20
36,unknown_5,445,224,12,24
37,{,466,224,14,24
40,suff,98,251,48,20
45,=,151,251,16,13
41,NAG.numberTostring(,173,251,208,24
42,"nags[1],",390,251,87,24
43,allNumeric,486,251,113,20
44,);,607,251,22,24
46,if,98,305,26,20
47,unknown_7,132,305,11,24
48,suff,152,305,48,20
52,=,209,305,23,19
49,null,238,305,48,20
50,unknown_8,294,305,12,24
51,{,314,305,15,24
53,if,141,332,26,20
54,unknown_9,175,332,12,24
56,count++,195,332,80,19
58,unknown_11,281,332,16,16
57,0,303,332,16,19
55,unknown_10,327,332,11,24
59,sb.append,185,359,121,24
60,1I);,315,359,33,24
61,"sb,append(",142,386,109,24
62,suff,260,386,48,20
63,);,316,386,21,24
64,unknown_12,98,413,14,24
65,unknown_13,55,440,14,24
67,return,55,467,69,19
66,sb.tostring();,131,467,152,24
68,unknown_14,11,494,15,24
