,word,x,y,width,height
0,public,12,35,69,24
1,WordFormGenerator,86,35,189,20
2,getFastestGenerator(,281,35,219,24
3,final,508,35,59,20
4,Locale,574,35,69,20
5,locale,650,35,68,20
6,unknown_0,726,35,12,24
7,throws,746,35,69,20
8,MorphologyException,821,35,210,24
9,unknown_1,1038,35,15,24
10,if,54,62,27,20
11,unknown_2,88,62,12,24
12,locale,110,62,68,20
16,==,184,62,27,13
13,null,217,62,48,20
14,unknown_3,273,62,11,24
15,{,293,62,14,24
17,throw,98,89,59,20
26,new,163,89,37,17
18,IllegalArgumentExceptiong,206,89,272,24
19,"""The",488,89,47,20
20,loc,544,89,52,20
24,argument,605,89,91,23
25,cannot,702,89,69,19
21,be,779,89,26,20
22,"null.""",811,89,68,20
23,);,888,89,22,24
27,unknown_4,55,116,14,24
28,WordFormGenerator,53,143,189,20
35,component,249,143,101,23
36,=,357,143,16,13
29,unknown_5,380,143,12,24
30,WordFormGenerator,399,143,189,20
31,unknown_6,597,143,11,24
32,"fastestGenerators,get",616,143,240,24
33,locale,866,143,68,20
34,);,942,143,22,24
37,if,54,170,27,20
38,unknown_7,88,170,12,24
42,component,108,170,102,23
43,==,216,170,27,13
39,null,249,170,48,20
40,unknown_8,305,170,12,24
41,unknown_9,325,170,15,24
44,throw,98,197,59,20
55,new,163,197,37,17
45,MorphologyException,206,197,218,24
46,"""Cannot",434,197,78,20
47,find,519,197,47,20
53,generator,573,197,101,23
48,for,681,197,37,20
49,locales,725,197,79,20
56,unknown_12,814,197,9,17
50,unknown_10,833,197,13,13
54,unknown_11,853,197,16,16
51,Zocale.tostring(,877,197,185,24
52,);,1072,197,21,24
57,unknown_13,55,224,14,24
58,return,55,252,69,19
59,component;,130,252,110,23
60,unknown_14,11,278,15,24
