,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,removeselection(,142,35,174,24
3,IEntity,325,35,80,24
4,selection,412,35,100,20
5,unknown_0,521,35,12,24
6,unknown_1,541,35,15,24
7,unknown_2,54,62,27,20
8,Assertions,86,62,121,20
9,if,54,89,27,20
10,unknown_3,88,89,12,24
11,selection,109,89,101,20
15,==,216,89,27,13
12,null,249,89,48,20
13,unknown_4,305,89,12,24
14,unknown_5,325,89,15,24
16,string,97,116,70,24
22,msg,173,116,37,21
23,=,216,116,16,13
17,'Argument,239,116,100,24
18,selection,349,116,118,20
21,cannot,476,116,68,19
19,be,552,116,26,20
20,"null."";",584,116,77,23
24,throw,98,143,59,20
27,new,163,143,37,17
25,IllegalArgumentExceptiong,206,143,272,24
28,msg,486,143,37,21
26,);,532,143,21,24
29,unknown_6,55,170,14,24
30,entitySel.remove(,54,224,187,24
31,selection,250,224,250,24
32,getEntityId(),250,224,250,24
33,);,510,224,22,24
34,if,54,251,35,24
35,selection,98,251,294,24
36,getType().equals,98,251,294,24
37,EntityType,400,251,189,24
38,MEMBER,400,251,189,24
39,)){,597,251,35,24
40,membercount--;,97,278,154,23
41,unknown_7,55,305,14,24
42,else{,76,305,59,24
43,groupcount--;,98,333,142,23
44,unknown_8,55,359,14,24
45,unknown_9,11,413,15,24
