,word,x,y,width,height
0,public,12,35,69,24
1,void,86,35,48,20
2,exit,141,35,56,24
3,Eventobject,206,35,122,24
6,event,335,35,58,19
4,unknown_0,402,35,12,24
5,{,422,35,15,24
7,for,54,62,37,20
8,unknown_1,99,62,12,24
9,ExitListener,119,62,134,20
10,listener,261,62,89,20
14,unknown_3,360,62,9,17
11,exitListeners,378,62,145,20
12,unknown_2,532,62,11,24
13,{,552,62,15,24
15,if,98,89,26,20
16,unknown_4,132,89,11,24
17,!listener,155,89,194,24
18,canExit(,155,89,194,24
21,event,357,89,58,19
19,)),424,89,22,24
20,{,455,89,15,24
22,return;,142,117,76,22
23,unknown_5,98,143,14,24
24,unknown_6,55,170,14,24
26,try,55,197,37,23
25,{,98,197,15,24
27,for,98,224,36,20
28,unknown_7,143,224,11,24
29,ExitListener,163,224,133,20
30,listener,304,224,90,20
34,unknown_10,403,224,9,17
31,exitlisteners,422,224,144,20
32,unknown_8,575,224,12,24
33,unknown_9,595,224,15,24
36,try,141,251,37,23
35,{,185,251,14,24
37,listener,185,278,196,24
38,willExit(,185,278,196,24
40,event,389,278,58,19
39,);,456,278,22,24
41,unknown_11,141,305,15,24
42,catch,162,305,59,20
43,unknown_12,229,305,12,24
44,Exception,249,305,101,24
47,e,357,305,16,17
45,unknown_13,381,305,11,24
46,{,401,305,14,24
48,logger,185,332,76,24
49,log(,261,332,44,24
50,"Level.WARNING,",315,332,151,23
51,"""ExitListener",477,332,261,24
52,willExit(),477,332,261,24
53,"failed""",746,332,87,23
55,e,843,332,16,17
54,);,867,332,21,24
56,unknown_14,141,359,15,24
57,unknown_15,98,386,14,24
58,shutdown();,98,413,120,24
59,unknown_16,55,440,14,24
60,catch,76,440,58,20
61,unknown_17,143,440,11,24
62,Exception,163,440,101,24
65,e,270,440,16,17
63,unknown_18,294,440,12,24
64,{,314,440,15,24
66,logger,99,467,76,24
67,Qog(,174,467,45,24
68,"Level.WARNING,",228,467,152,23
69,"""unexpected",390,467,122,24
73,error,519,467,58,17
70,in,584,467,26,20
71,"Application.shutdown()""",615,467,261,24
74,e,886,467,16,17
72,);,910,467,21,24
75,unknown_19,55,494,14,24
76,finally,54,521,81,24
77,{,142,521,14,24
78,end();,98,548,66,24
79,unknown_20,55,575,14,24
80,unknown_21,11,602,15,24
