word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
testGetCodigo(),testGetcodigo(),141,35,165,24
{,{,314,35,15,24
System.out.println(,System.out.println(,54,62,208,24
"""getCodigo""","""getCodigo""",272,62,121,24
);,);,402,62,22,24
Cronograma,cronograma,54,116,114,23
instance,instance,173,116,92,20
=,=,270,116,16,13
null;,null;,292,116,56,23
String,string,54,143,70,24
expResult,expResult,130,143,101,24
=,=,238,143,16,13
""""";",""""";",261,143,33,23
String,string,54,170,70,24
result,result,131,170,68,20
=,=,205,170,16,13
instance.getCodigo();,instance.getCodigo();,227,170,229,24
assertEquals(,assertEquals(,54,197,143,24
expResult,expResult_,206,197,109,24
-----------,1,206,197,109,24
result,result,325,197,68,20
);,);,402,197,22,24
//,//,54,251,27,20
TODO,TODO,86,251,49,19
review,review,142,251,69,20
the,the,217,251,37,20
generated,generated,260,251,101,24
test,test,368,251,47,19
code,code,422,251,48,20
and,and,476,251,36,20
remove,remove,520,251,69,17
the,the,595,251,37,20
default,default,638,251,79,20
call,call,724,251,48,20
to,to,779,251,26,19
fail.,fail-,810,251,56,20
fail(,fail(,54,278,57,24
"""The","""The",120,278,47,20
test,test,174,278,46,19
case,case,227,278,48,17
is,is,281,278,26,20
a,a,314,278,16,17
"prototype.""",prototype_,336,278,121,24
);,);,467,278,21,24
},},11,305,15,24
