fid,name,ref,callcon,function
38737384,setSecurityMode,public method to set the security level," sets the security mode for the specified token ","

public int setSecurityMode ( int level, String authToken ) throws RemoteException {
    if ( !this.authToken.equals( authToken )){
        throw new RemoteException( ""Invalid Login Token"" );
    }
    ServerSettingBean.setSecureMode( """" + level );
    serverSettingBean.updateSettings();
    securityMode = level;
    return securityMode;
} 
"
22628734,setTopAttributes,populate top level attributes with opml type specific data attributes from," sets the top attributes of the top of the stack ","

private void setTopAttributes( Attributes from ) {
    for ( int i = 0; i < from.getLength(); i++ ) {
        topMenu.setAttribute( from.getLocalName( i ), from.getValue( i ) );
        topMenu.setAttribute( from.getQName( i ), from.getValue( i ) );
    }
} 
"
18252350,joinTableRender,gets render of an association for the join combobox," creates the table interaction table ","

private String joinTableRender( Table from, Association association ) {
    int n = 0;

    for ( Association a: from.associations ) {
        if ( a.destination == association.destination ) {
            ++n;
        }
    }
    return datamodel.getDisplayName( association.destination ) + ( n > 1?"" on "" + association.getName():"""" );
} 
"
17121898,compareTo,compares the tpoint object with other tpoint using timestamps first i," compare this camera to the game ","

public int compareTo( TPoint o ) {
    if (( this.value == o.value() ) && ( this.tstamp == o.tstamp() )) {
        return 0;
    }
    else if ( this.tstamp > o.tstamp ) {
        return 1;
    }
    else if ( this.tstamp < o.tstamp ) {
        return -1;
    }
    else if ( this.value > o.value ) {
        return 1;
    }
    return -1;
} 
"
1810886,setNamedItem,this function delegates to the native method code set named item code in," set the named item ","

public Node setNamedItem( Node arg ) {
    try {
        return NodeImpl.build( XMLParserImpl.setNamedItem( this.getJsObject(),
        (( DOMItem ) arg ).getJsObject() ));
    } catch ( JavaScriptException e ) {
        throw new DOMNodeException( DOMNodeException.INVALID_MODIFICATION_ERR, e, this );
    }
} 
"
38184555,wndPreferences,window preferences menu action," helper method to fill the preferences of the application ","

public void wndPreferences() {
    log.entering( ""MainWindow"", ""wndPreferences"" );
    PropertiesDlg propDlg = new PropertiesDlg( this );
    propDlg.setModal( true );
    propDlg.setVisible( true );
    log.exiting( ""MainWindow"", ""wndPreferences"" );
} 
"
26412118,connectionErrorOccurred,responds to an error event," notification that a connection error occured ","

public void connectionErrorOccurred( ConnectionEvent event ) {
    logger.warn( ""Received Connection Error event from a conection in pool "" + info.getName() );

    if ( info.isRemoveOnExceptions() ) {
        checkIn( event.getSource(), true );
        logger.warn( ""removeOnExceptions == true, closed connection"" );
    }
} 
"
18912425,tellAgain,forward some message to the participant," sends an <UNK> to the queue ","

protected void tellAgain( final QName message ) throws RemoteException{
    final AbstractCoordParticipantProxy proxy =
        this.getParticipantProxy();

    if ( State.MESSAGE_CANCEL.equals( message )){
        proxy.cancelOperation( null );
			
    } else if ( State.MESSAGE_COMPENSATE.equals( message )){
        proxy.compensateOperation( null );

    } else if ( State.MESSAGE_CLOSE.equals( message )){
        proxy.closeOperation( null );
			
    } else if ( State.MESSAGE_EXITED.equals( message )){
        proxy.exitedOperation( null );
			
    } else if ( State.MESSAGE_FAULTED.equals( message )){
        proxy.faultedOperation( null );
			
    } else if ( State.MESSAGE_GETSTATUS.equals( message )){
        proxy.getStatusOperation( null );
			
    } else{
        throw new IllegalArgumentException( ""Sorry, cannot tell a participant "" + message );
    }
} 
"
22624602,asMap,for use in json emulate part of people db 1," maps a map as a map as a map ","

public Map asMap() {
    Map map = new HashMap();
    // map.put ( ""org_id"", org_id );
    map.put( ""startDate"", start_date );
    map.put( ""endDate"", end_date );

    if ( this.organization != null )
        map.put( ""organization"", this.organization.acronym );
    map.put( ""type"", ( this.isVisitor() ? ""Visitor"" : ""Employee"" ));
    // return new JSONObject( map );
    return map;
} 
"
35553791,createServerChooser,create server file view," creates the server chooser ","

public void createServerChooser() {
    MainMenuBar mainMenuBar = MainMenuBar.getInstance();

    int nodeId = dbMgr.getNodeId(( String ) cbNE.getSelectedItem());

    DownloadFileChooser downloadFile = new DownloadFileChooser( nodeId, DBDataDesc.SHELF_OLT1, tfFileName, tfFileNameOnly );

    mainMenuBar.putCommand(( Object ) downloadFile );
    downloadFile.setViewId( mainMenuBar.getViewId() );
    downloadFile.setVisible( true );
} 
"
21359951,show,show dialog with existing or new null contact," shows the given contact ","

public void show( Contact contact ) {
    logger.fine( ""Showing edit contact dialog for contact: "" + contact );
    this.contact = contact;
    init();
    setLocationRelativeTo( Context.mainFrame );
    optionPane.setValue( JOptionPane.UNINITIALIZED_VALUE );
    panel.setContact( contact );
    panel.prepareForShow();
    setVisible( true );
} 
"
13482891,visitRetStmt,make sure that all of targets of the tt ret tt are valid," visits a statement ","

public void visitRetStmt( RetStmt stmt ) {
    Set targets = new LinkedHashSet();
    Iterator iter = stmt.sub().paths().iterator();

    while ( iter.hasNext() ) {
        Block[] path = ( Block[]) iter.next();
        targets.add( path[ 1 ] );
    }

    targets.addAll( stmt.catchTargets() );
    verifyTargets( stmt.block(), targets );
    visitNode( stmt );
} 
"
19218425,getClassNameForLookAndFeel,may return null if no mapping for the name exists," returns the name of the class name and feel ","

public String getClassNameForLookAndFeel( String name ) {
    if ( lfNameToLookAndFeel.containsKey( name )) {
        UIManager.LookAndFeelInfo lookAndFeelInfo =
                ( UIManager.LookAndFeelInfo ) lfNameToLookAndFeel.get( name );
        return lookAndFeelInfo.getClassName();
    }
    else {
        return null;
    }
} 
"
29854794,genIdents,generates the names of this type," generate a evaluation sequence ","

public JExpression genIdents() {
    TokenReference ref = getTokenReference();
    Jexpression[] init = new JExpression[ codes.length ];

    for ( int i = 0; i < codes.length; i++ ) {
        init[ i ] = new JStringLiteral( ref, codes[ i ].getIdent() );
    }
    return VKUtils.createArray( ref, CStdType.String, init );
} 
"
33519720,encode,encodes a string using base64 encoding," encode a string into utf 8 encoded encoded string ","

public String encode( String string ) throws EncoderException {
    byte[] bytes, encoded_bytes;
    String encoded_string = """";
        
    try {
        bytes = string.getBytes( ""UTF-8"" );
        encoded_bytes = encodeBase64( bytes );
        encoded_string = new String( encoded_bytes );
        
    } catch ( UnsupportedEncodingException ex ) {
        ex.printStackTrace();
    }
    return encoded_string;
} 
"
45130358,evaluate,evaluates the numbers of hours in the xsd date time," evaluates the value of a literal ","

public Value evaluate( Value value ) throws ExternalFunctionException {
    if (!( value instanceof Literal )) {
        throw new ExternalFunctionException( ""Values need to be literals to be understood"" );
    }    
    DateTime date = this.converter.convertDateTime(( Literal ) value );
        
    return this.converter.convertInteger( date.getHour() );
} 
"
27802185,createGraphModel,create a new pgraph model based on set of nodes," creates a new graph model containing the nodes ","

public GraphModel createGraphModel ( List includedNodes ) {
    num_models++;
    System.out.println( ""PGraphModel: creating a new non-super graphmodel: "" + num_models );

    GraphModel model =  new PGraphModel( ""Phoebe"" + num_models, getModelSubSet( includedNodes ));
    getCommunity().add( model );
    //return new PGraphModel( ""Phoebe"" + num_models, getModelSubSet( includedNodes ));

    return model;
} 
"
18251847,addDbArgs,adds jailer cli arguments for db connection," adds a new database command to the database ","

public void addDbArgs( List<String> args ) {
    args.add( currentConnection.driverClass );
    args.add( currentConnection.url );
    args.add( currentConnection.user );
    args.add( currentConnection.password );

    if ( currentConnection.jar1.trim().length() > 0 ) {
        args.add( ""-jdbcjar"" );
        args.add( currentConnection.jar1.trim() );
    }
    if ( currentConnection.jar2.trim().length() > 0 ) {
        args.add( ""-jdbcjar2"" );
        args.add( currentConnection.jar2.trim() );
    }
} 
"
47571922,getEffect,return the effect applied to this pokemon of a particular lock or," returns the effect of the ap sent by the transition ","

public StatusEffect getEffect( int lock ) {
    synchronized ( m_statuses ) {
        Iterator i = m_statuses.iterator();

        while ( i.hasNext() ) {
            StatusEffect eff = ( StatusEffect )i.next();

            if (( eff == null ) || !eff.isActive() ) {
                continue;
            }
            if ( eff.getLock() == lock ) {
                return eff;
            }
        }
    }
    return null;
} 
"
3934822,documentLoadingCompleted,called when the loading of a document was completed," the loading of the document that has completed ","

public void documentLoadingCompleted( SVGDocumentLoaderEvent e ) {
    if ( debug ) {
        System.out.print( ""Document load completed in "" );
        System.out.println(( System.currentTimeMillis() - time ) + "" ms"" );
    }
    setSVGDocument( e.getSVGDocument(), e.getSVGDocument().getURL(), e.getSVGDocument().getTitle() );
} 
"
45147874,clearFieldersFromField,clear all fielders from the field," clears all observers of the field and removes them from the ","

public void clearFieldersFromField() {
    // clear all fielders from field
    for ( int i = 0; i < boardXDimension; i++ ) {
        for ( int j = 0; j < boardYDimension; j++ ) {
            for ( int a = 0; a < boardZDimension; a++ ) {
                cricketFieldPositions[ i ][ j ][ a ] = 0;
            }
        }
    }
} 
"
3457090,createNewServerProcess,create a new socket process for a new connection," creates a new server process on the server ","

protected void createNewServerProcess( Socket socket ){
    logger.info( ""Received connection on port "" + getPort() + "" from ["" + socket.getInetAddress() + "":"" + socket.getPort() + ""]."" );
		
    Thread t = new Thread( getNewServerProcess( socket ));
    t.start();
    getServerProcesses().add( t );
    new Thread( new Monitor( t )).start();
} 
"
40936756,selectBracketingEntries,select the entries bracketing a specified date," select the entries in the specified date ","

protected boolean selectBracketingEntries( final AbsoluteDate date ) {
    try {
        // select the bracketing elements
        next = ( TimeStampedEntry ) ( eop.tailSet( date ).first() );
        previous = ( TimeStampedEntry ) ( eop.headSet( next ).last() );
        return true;
    } catch ( NoSuchElementException nsee ) {
        previous = null;
        next = null;
        return false;
    }
} 
"
18354735,invalidateSession,removes the mapping between the designated sm2 client identifier and," invalidate a session with the id ","

public void invalidateSession( String uid, String sid ) {
    cat.debug( ""==> invalidateSession( "" + String.valueOf( uid ) + "", "" + String.valueOf( sid ) + "")"" );

    synchronized ( lock ) {
        uid2sid.remove( uid );
        sid2ssc.remove( sid );
        sid2ttl.remove( sid );
    }
    cat.debug( ""<== invalidateSession()"" );
} 
"
43137003,getNAGString,returns the array of nags as a string delimited by space," returns the string representation of the <UNK> <UNK> ","

public String getNAGString ( boolean allNumeric ) {
    if ( nags == null ) return null;

    StringBuilder sb = new StringBuilder();
    String suff = null;
    int count = 0;

    for ( int i=0; i < nags.length; i++ ) {
        suff = NAG.numberToString( nags[i], allNumeric );

        if ( suff != null ) {
            if ( count++ > 0 )
                sb.append("" "");
            sb.append( suff );
        }
    }
    return sb.toString();
} 
"
18418213,showLatestPlan,loads the latest plan in order to show it," returns the latest available snapshot ","

public String showLatestPlan() {
    // clear previous protocols
    mCurrPlanProt = null;	
    try {
        PatientController han = new PatientController( mCurrPatient );
        NutPlan plan = han.getLatestNutritionPlan();
        NutritionController controller = NutritionController.editPlan( plan );

        mCurrPlanProt = WebPlanProtocol.createPlan( controller, plan, mCurrPatient );
        return ""success"";

    } catch ( Exception e ) {
        e.printStackTrace();
    }
    return ""failure"";
} 
"
33719114,testSetEvtID,test of set evt id method of class com," test of set method of class email ","

public void testSetEvtID() {
    System.out.println( ""setEvtID"" );    
    String evtID = """";
    Email_DBImpl instance = new Email_DBImpl();
    instance.setEvtID( evtID );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
26501411,doOutput,template method that can be overriden to log to another place than," print the output of the task ","

protected void doOutput( int lvl, Object message, Throwable t ) {
    System.out.print( ""["" );
    System.out.print( _taskName );
    System.out.print( "" - "" );
    System.out.print( LEVEL[lvl] );
    System.out.print( ""]"" );
    System.out.println( message );

    if( t != null ) {
        t.printStackTrace();
    }
} 
"
3456415,testLogin,check that the user login and password are set on session," tests that the login session is still logged in ","

public void testLogin() {
    SessionManager manager = new SimpleSessionManager();
    String sessionId = manager.createSession( null, null );		
    Session session = manager.getSession( sessionId );
    manager.login( session, ""user"", ""password"" );
		
    assertEquals( ""user"", session.getUserId() );
    assertEquals( ""password"", session.getUserPassword() );
    assertTrue( session.isLoggedIn() );
} 
"
19498280,test,an invalid character in a predicate is ignored but reported as a warning," test for int int ","

public void test_10_bug2689872() throws Exception {
    E con = getGeneric().createElement( ""elt"" );
    getGeneric().addPredicates( con, makeSList( ""A1"" ), makeSList( ""0/=1"" ), false );
    getGeneric().save( con );
    runBuilder();
    SCE file = getGeneric().getSCElement( con );
    getGeneric().containsPredicates( file, emptyEnv, makeSList(), makeSList() );
		
    hasMarker( getGeneric().getPredicates( con )[ 0 ],
        EventBAttributes.PREDICATE_ATTRIBUTE,
        ParseProblem.LexerError,
        ""/""
        );
} 
"
43419611,saveCRCReply,here the local container description will be stored on disk," save the latest reply from the server ","

private void saveCRCReply( ClientRemoteContainerReply crcReply ) {	
    LoadService.currentlyWritingFile = true;
    String mySavingPath = LoadService.SERVICE_NODE_DESCRIPTION_FILE;
    try {
        ObjectOutputStream out = new ObjectOutputStream( new FileOutputStream( mySavingPath ));
        out.writeObject( crcReply );
        out.flush();
        out.close();
			
    } catch ( FileNotFoundException e1 ) {
        e1.printStackTrace();
    } catch ( IOException e1 ) {
        e1.printStackTrace();
    }
    LoadService.currentlyWritingFile = false;
} 
"
34413808,init,method to handle initialisation tasks," initializes the object ","

private void init() {
    _innerData = Collections.synchronizedMap( new LinkedHashMap< String, Object >() );
    Iterator< Entry < String, Object >> itr = _srcModel.entrySet().iterator();

    while( itr.hasNext() ){
        Entry< String, Object > entry = itr.next();
        _innerData.put( entry.getKey(), entry.getValue() );
    }
    _srcListener = new ListDataListener(){
        public void onChange( ListDataEvent event ) {
        onListDataChange( event );
        }
    };	
    _srcModel.addListDataListener( _srcListener );
} 
"
19505695,getRodinDBStatus,returns the rodin database status object for this exception," get the status of a db ","

public IRodinDBStatus getRodinDBStatus() {
    IStatus status = this.getStatus();

    if (vstatus instanceof IRodinDBStatusv) {
        return (vIRodinDBStatusv) status;
    } else {
        // A regular IStatus is created only in the case of a CoreException.
        // See bug 13492 Should handle RodinDBExceptions that contains
        // CoreException more gracefully
        return new RodinDBStatus( this.nestedCoreException );
    }
} 
"
39298970,getApplicableLaw,selects the influence law which is applicable to a given influence," return a <UNK> or <UNK> or null if it is not yet","

public InfluenceLaw getApplicableLaw( Influence inf ) {
    if ( inf == null ) {
        throw new IllegalArgumentException();
    }
    for ( Iterator iter = influenceLaws.iterator(); iter.hasNext(); ) {
        InfluenceLaw infLaw = ( InfluenceLaw ) iter.next();
        if( infLaw.isApplicableTo( inf )) {
            return infLaw;
        }
    }
    return null;
} 
"
22907997,removeRedundantOperations,optimize the list of files to remove by discarding redundant operations like," remove the related operations from the server ","

private void removeRedundantOperations( OBEXElement file, List< OBEXElement > filesToRemove ) {
    OBEXElement parentFolder = file;
    log.debug( ""Removing redundant operations"" );

    while (( parentFolder = parentFolder.getParent() ) != null ) {
        if ( filesToRemove.contains( parentFolder )) {
            filesToRemove.remove( file );
            file = parentFolder;
        }
    }
} 
"
18123253,setSelectedScript,sets the selected existing script," set the selected script ","

public void setSelectedScript( Object script ) {
    selectedScript = script;

    // expand to and select the specified container
    List itemsToExpand = new ArrayList();
    IContainer parent = project.getParent();
    while ( parent != null ) {
        itemsToExpand.add( 0, parent );
        parent = parent.getParent();
    }
    treeViewer.setExpandedElements( itemsToExpand.toArray() );
    treeViewer.setSelection( new StructuredSelection( project ), true );
} 
"
40099556,removeSelection,removes the given entity from the basket," removes the given entity from the list of selected entity ","

public void removeSelection( IEntity selection ) {
    // Assertions.
    if ( selection == null ) {
        String msg = ""Argument 'selection' cannot be null."";
        throw new IllegalArgumentException( msg );
    }
        
    entitySel.remove( selection.getEntityId() );
    if( selection.getType().equals( EntityType.MEMBER )){          
        memberCount--;
    } else{
        groupCount--;
    }
        
} 
"
7957602,println,print a textual description of this expr info," print out the <UNK> ","

protected void print() {
    System.out.println( ""Print for "" + prototype + ""------------------"" );
    cfg.visit( new PrintVisitor() {
        Phi phi = null;

        public void visitBlock( final Block block ) {
            phi = exprPhiAtBlock( block );
            super.visitBlock( block );
        }
        public void visitLabelStmt( final LabelStmt stmt ) {
            super.visitLabelStmt( stmt );

            if ( stmt.label().startsBlock() ) {
                if ( phi != null ) {
                    println( phi );
                    phi = null;
                }
            }
        }
    });
    System.out.println( ""End Print ----------------------------"" );
} 
"
19682824,handleHalt,handle the halt system call," handle <UNK> of <UNK> ","

private int handleHalt() {
    //need to test that this is the root process
    if( processID == 0 ){
        Machine.halt(); 
    } else{
        //System.err.println( ""non-root process trying to call halt"" );
        return -1; //This is not the root process so ignore this one
    }	
    Lib.assertNotReached( ""Machine.halt() did not halt machine!"" );
    return 0;
} 
"
20687719,getConnectionPanel,this method initializes connection panel," this method initializes j panel ","

private JPanel getConnectionPanel() {
    if ( connectionPanel == null ) {
        connectionRoomLabel = new JLabel();
        connectionRoomLabel.setText( ""Playground"" );
        connectionPanel = new JPanel();
        connectionPanel.setLayout( new BoxLayout( getConnectionPanel(), BoxLayout.X_AXIS ));
        connectionPanel.add( getConnectionsButton(), null );
        connectionPanel.add( connectionRoomLabel, null );
    }
    return connectionPanel;
} 
"
37762493,moveUpTarget,moves the given target up in the list of active targets," moves the target at the specified index up to the index ","

public void moveUpTarget( int index ) {
    Object target= targets.get( index );

    if ( index == 0 || target == null ) {
        return;
    }
    targets.set( index, targets.get( index - 1 ));
    targets.set( index - 1, target );
    log.debug( ""New ordering"" );

    for ( int i = 0; i < targets.size(); i++ ) {
        log.debug( ""|t"" + i + targets.get( i ));
    }
} 
"
7848915,draw,draw the control fps panel in the control sketch window," draw the next character ","

public void draw() {
    p4vj.cSketch.stroke( 0 );
    p4vj.cSketch.fill( 128 );
    p4vj.cSketch.rect( xPos, yPos, xSize, ySize );
    drawFPS();
    p4vj.cSketch.fill( 255 );
    p4vj.cSketch.textAlign( p.LEFT, p.BASELINE );
    p4vj.cSketch.textFont( p4vj.fontSS14, 14 );
    p4vj.cSketch.text( "" :: Control FPS"", xPos, yPos + ySize - 5 );
} 
"
19344536,Value,this method sets the vaule of combo value," set the value of combo value ","

public void setCombo_Value( String val ) {
    If (( val == null || """".equals( val )) && ( Combo_Value == null || """".equals( Combo_Value ))) {
        return;
    }
    if (( val == null ) || ( !val.equals( Combo_Value )) || ( updateStatus == NULL_INT_VALUE )) {
        Combo_Value = val;
        updateStatus = UPDATED;
    }
} 
"
1736289,resetSchedConflict,this method resets schedule conflict," resets the time conflict in the data store ","

public void resetSchedConflict() {
    try {
        if ( listData == null || listData.size() == 0 )
            return;
        for ( int i = 0;  i < listData.size();  i++ ) {
            TblAuditor auditor = ( TblAuditor ) listData.get( i );
            auditor.setSchedConflict( false );
        }
    } catch ( Exception ex ) {
        logger.error( ex );
        FacesUtils.addErrorMessage( ex.getMessage() );
    }
} 
"
36634895,swapItems,this function swaps two items positions in the menu list," swap items of items in the list ","

public void swapItems( int index, int change ){
    if( index >= 0 && index < allItems.length && change >= 0 && change < allItems.length ){
        MenuItem temp = allItems[ index ];
        allItems[ index ] = allItems[ change ];
        allItems[ change ] = temp;
    }
} 
"
4453291,exit,gracefully shutdown the application," exit the event ","

public void exit( EventObject event ) {
    for ( ExitListener listener : exitListeners ) {
        if ( !listener.canExit( event )) {
            return;
        }
    }
    try {
        for ( ExitListener listener : exitListeners ) {
            try {
                listener.willExit( event );
            } catch ( Exception e ) { 
                logger.log( Level.WARNING, ""ExitListener.willExit() failed"", e );
            }
        }
        shutdown();
    } catch ( Exception e ) { 
        logger.log( Level.WARNING, ""unexpected error in Application.shutdown()"", e );
    }
    finally {
        end();
    }
} 
"
14467418,setUpMrj,attempts to retrieve mrj version and mrj major version information on the," set up the look feel and feel ","

private void setUpMrj() {
    Belvedere4.mrjVersion = System.getProperty( ""mrj.version"" );

    if ( Belvedere4.mrjVersion == null ) return;
    try {
        Belvedere4.mrjMajorVersion = Double.valueOf( Belvedere4.mrjVersion.substring( 0, 3 )).doubleValue();
    } catch ( Exception e ) {
        Belvedere4.mrjMajorVersion = 0;
    }
} 
"
39233866,testInvoke,test if we can invoke a given service," test invoke method ","

public void testInvoke() throws Exception {
    transport.setRemoteService( ""TravelProcess"" );
    call.setOperation( ""initiate"" );
    call.addParameter( ""x"", XMLType.XSD_STRING, ParameterMode.IN );
    call.setReturnType( XMLType.XSD_STRING );

    String result = ( String ) call.invoke( new Object[] { ""anything"" });

    assertEquals( DUMMY_RESULT, result );
} 
"
39299426,liesBetween,check if a value lies between 2 other values," returns true if coordinates of the coordinates x y coordinates coordinates ","

private boolean liesBetween( double x1, double x2, double x3 ) {
    if (( x1 <= x2 ) 
    	&& ( x3 >= x1 - ACCURACY && x3 <= x2 + ACCURACY ))
    		return true;
    if (( x1 >= x2 ) 
    	&& ( x3 >= x2 - ACCURACY && x3 <= x1 + ACCURACY ))
    		return true;
    	
    return false;
} 
"
28953715,readResponse,read the entire response from the http post as a string," reads a response from the input stream ","

private String readResponse( InputStream stream ) {
    BufferedReader input = new BufferedReader( new InputStreamReader( stream ));
    StringBuffer sb = new StringBuffer();
    String line;
    try {
        line = input.readLine();
    } catch ( IOException e ) {
        line = null;
    }
    while ( line != null ) {
        if ( !line.trim().equals( """" ) ) {
            if ( sb.length() > 0 ) sb.append( ""|n"" );
            sb.append( line );
        }
        try {
            line = input.readLine();
        } catch ( IOException e ) {
            line = null;
		}
    }
    return sb.toString();
} 
"
40875567,getBackCommand25,returns an initiliazed instance of back command25 component," returns an initiliazed instance of back <UNK> component ","

public Command getBackCommand25() {
    if ( backCommand25 == null ) { //GEN-END: | 618-getter | 0 | 618-preInit
        // write pre-init user code here
        backCommand25 = new Command( ""Back"", Command.BACK, 0 );//GEN-LINE:| 618-getter | 1 | 618-postInit
        // write post-init user code here
    }//GEN-BEGIN: | 618-getter | 2 |
    return backCommand25;
} 
"
